FileName,HellingerDistance
result_gene_1.mat,0.0973850906502678
result_gene_10.mat,0.0914025098830973
result_gene_100.mat,0.112865171275261
result_gene_1000.mat,0.10619744606369
result_gene_1001.mat,0.0897164009869995
result_gene_1005.mat,0.0918181582452461
result_gene_1006.mat,0.117423491923951
result_gene_1007.mat,0.112453501987265
result_gene_101.mat,0.0789478174542006
result_gene_1010.mat,0.087138695278096
result_gene_1011.mat,NaN
result_gene_1013.mat,0.124441776435284
result_gene_1014.mat,0.0898911711704
result_gene_1015.mat,NaN
result_gene_1017.mat,0.113222601810929
result_gene_1018.mat,0.137094035214561
result_gene_1019.mat,0.0749120896427459
result_gene_1020.mat,0.123892452651189
result_gene_1021.mat,0.104816829792646
result_gene_1022.mat,0.169398271311843
result_gene_1023.mat,0.1080195779022
result_gene_1024.mat,0.119459436853839
result_gene_1025.mat,0.124588524798636
result_gene_1026.mat,0.135316405328278
result_gene_1027.mat,0.106171025192619
result_gene_1028.mat,0.109474342780781
result_gene_1029.mat,0.129950585469385
result_gene_103.mat,0.0952779831471835
result_gene_1030.mat,0.113944220525705
result_gene_1031.mat,NaN
result_gene_1032.mat,0.125464134826769
result_gene_1033.mat,0.126544944000753
result_gene_1034.mat,0.0990793599397109
result_gene_1035.mat,0.148013535815857
result_gene_1036.mat,0.150203570046883
result_gene_1037.mat,0.125998231560034
result_gene_1038.mat,0.102325768195273
result_gene_1039.mat,0.140856485526363
result_gene_104.mat,NaN
result_gene_1041.mat,0.0969577992720899
result_gene_1042.mat,0.124584145410822
result_gene_1043.mat,0.0912160659813906
result_gene_1044.mat,0.14118909424656
result_gene_1045.mat,0.131002271768916
result_gene_1046.mat,0.111582750542288
result_gene_1047.mat,0.0999298645288293
result_gene_1048.mat,0.0865754303571796
result_gene_1049.mat,0.115981899224089
result_gene_105.mat,0.0842086687006911
result_gene_1050.mat,0.133399853061403
result_gene_1051.mat,0.127837548008857
result_gene_1052.mat,0.106967209887556
result_gene_1053.mat,0.0739166167591101
result_gene_1054.mat,0.0786395855929832
result_gene_1055.mat,0.0924544453040305
result_gene_1056.mat,0.0957564918656282
result_gene_1057.mat,0.105716271611775
result_gene_1058.mat,0.165218043997779
result_gene_1059.mat,0.120785560384204
result_gene_106.mat,0.120005958094481
result_gene_1060.mat,0.17465071637682
result_gene_1061.mat,0.110376619451316
result_gene_1062.mat,0.0914575899837517
result_gene_1063.mat,0.141852495318154
result_gene_1064.mat,0.0805624132406325
result_gene_1065.mat,0.157005052806939
result_gene_1066.mat,NaN
result_gene_1067.mat,0.0607685173368602
result_gene_1068.mat,0.105175237018783
result_gene_1069.mat,0.121625068725415
result_gene_107.mat,NaN
result_gene_1070.mat,0.126428884182104
result_gene_1072.mat,0.173853833381636
result_gene_1073.mat,0.162011862181908
result_gene_1074.mat,0.117460691582113
result_gene_1075.mat,0.0887245608058454
result_gene_1076.mat,0.0703843707878563
result_gene_1078.mat,0.0821637149718463
result_gene_1079.mat,0.0933806464963228
result_gene_108.mat,0.0882262343219375
result_gene_1080.mat,0.110790343849304
result_gene_1081.mat,0.117294171325951
result_gene_1082.mat,0.101232959226115
result_gene_1083.mat,0.122736092354843
result_gene_1084.mat,0.150761326882029
result_gene_1085.mat,0.0914419252262482
result_gene_1086.mat,0.169916007184829
result_gene_1087.mat,0.127681845962151
result_gene_1088.mat,0.0913151678778796
result_gene_1089.mat,0.0874028058959016
result_gene_109.mat,0.133721443729191
result_gene_1090.mat,0.1602630737147
result_gene_1091.mat,NaN
result_gene_1092.mat,0.10135951891919
result_gene_1093.mat,0.0638780211529857
result_gene_1094.mat,0.123326755835308
result_gene_1095.mat,0.0882175816530216
result_gene_1096.mat,0.148475964991292
result_gene_1097.mat,0.0908322739110276
result_gene_1098.mat,0.0895164206491059
result_gene_1099.mat,0.0946469728990337
result_gene_11.mat,0.117914363575597
result_gene_110.mat,0.0745735197944734
result_gene_1100.mat,0.104338180522116
result_gene_1101.mat,0.116775289846217
result_gene_1102.mat,0.0950610336375132
result_gene_1103.mat,0.130582186305811
result_gene_1104.mat,0.0976962053582448
result_gene_1105.mat,0.0973152658596487
result_gene_1106.mat,0.121817694523208
result_gene_1107.mat,0.0641306265529985
result_gene_1108.mat,0.157625569158151
result_gene_1109.mat,0.105835459974732
result_gene_111.mat,0.165397211354239
result_gene_1110.mat,0.121863369824509
result_gene_1111.mat,0.0989267221505753
result_gene_1112.mat,0.122460598756252
result_gene_1113.mat,0.140844707196879
result_gene_1114.mat,0.10956268054984
result_gene_1115.mat,0.120209408643687
result_gene_1116.mat,0.0896879649908114
result_gene_1118.mat,0.126501770257466
result_gene_1119.mat,0.101065727028963
result_gene_112.mat,0.0993672121700951
result_gene_1120.mat,0.112780159655398
result_gene_1121.mat,0.114042043906618
result_gene_1122.mat,0.146231374501323
result_gene_1123.mat,0.0985059591684793
result_gene_1124.mat,0.139710165077436
result_gene_1125.mat,0.150780666273417
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
